date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,bb_pct,vol_sma20,vol_ratio,ret_1d,ret_5d,ret_20d,ticker
2025-01-02,421.45201157982797,421.9868450538027,410.8743686174563,414.568603515625,16896500.0,434.9899932861328,424.0723522949219,419.84023727417014,427.4789713292801,428.59990586310823,36.11171129459917,-1.1209345338281196,2.3547844602443413,-3.475718994072461,454.29088574592606,415.68910082633954,434.9899932861328,-0.029027085483733006,20914485.0,0.807885061477727,-0.006927668346814686,-0.047230948120855376,-0.029267151788321843,MSFT
2025-01-03,417.0446121521978,419.96635323692743,415.51939233739597,419.2928771972656,16662900.0,434.29323425292966,424.0068658447266,419.8615031433108,426.21957223204714,427.91049633230506,41.60981035797559,-1.6909241002579165,1.5456427481438897,-3.2365668484018064,454.8285784203098,413.75789008554955,434.29323425292966,0.1347673325186704,20447160.0,0.8149249088871021,0.011395637878936826,-0.03369019461388434,-0.03216592372353455,MSFT
2025-01-06,423.8983123069827,430.1577525838614,421.4024733118246,423.749755859375,20573600.0,433.56181335449213,424.0880444335938,419.88624237060577,425.8396004824053,427.6022933343102,46.30452737849157,-1.7626928519049443,0.8839756281341229,-2.646668480039067,454.52220399485805,412.6014227141262,433.56181335449213,0.2659381052639634,20390950.0,1.0089574051233512,0.010629511981937512,-0.006224910822464458,-0.033369403045338086,MSFT
2025-01-07,424.8887326935554,426.52291408196885,416.76730426764124,418.322265625,18139100.0,432.51197204589835,424.0581036376954,419.86345718383814,424.6830874274199,426.91488387436135,41.88771337937439,-2.2317964469414733,0.2608212131190037,-2.492617660060477,454.3434298389486,410.68051425284807,432.51197204589835,0.17501697423086315,20356855.0,0.8910561086179569,-0.012808243920678919,-0.00579049597386605,-0.04779402162103885,MSFT
2025-01-08,419.40186853766966,422.87824100258706,417.50028530352995,420.4913330078125,15054600.0,431.4492599487304,424.0039349365234,419.8546195983889,424.03820213209565,426.439065291654,44.1793168860984,-2.400863159558355,-0.2715156614164681,-2.129347498141887,453.45671710473516,409.44180279272564,431.4492599487304,0.25104059357036945,20152365.0,0.7470388711200894,0.005185158814273949,0.007259847872888692,-0.048114215848588215,MSFT
2025-01-10,420.5605868581897,420.6398068835906,411.0426680414125,414.9350280761719,20201100.0,430.241941833496,423.8694793701172,419.8469560241702,422.63771381579966,425.58691438680347,39.84479840452378,-2.9492005710038143,-0.8070526433339373,-2.142147927669877,453.1186222539302,407.36526141306183,430.241941833496,0.16544722669166284,20238945.0,0.9981300902789152,-0.01321383937189824,0.0008838695391777396,-0.054992907542136815,MSFT
2025-01-13,411.2606004893305,414.48936844362913,408.3388895039501,413.1919250488281,17604800.0,428.6671798706054,423.5942004394531,419.83653549194366,421.1845155439579,424.6687670284349,38.56643871232152,-3.4842514844769994,-1.3424924115625498,-2.1417590729144496,451.6926487156734,405.64171102553746,428.6671798706054,0.1639535349731643,20159175.0,0.8732897055559069,-0.004200905947674638,-0.01455057426498374,-0.07082560907041269,MSFT
2025-01-14,413.80596878606093,415.7174656234234,406.783918522941,411.6864929199219,16935900.0,426.9889190673828,423.2773480224609,419.81967117309597,419.72328129410624,423.707117094471,37.44894814678591,-3.9838358003647727,-1.8707610893229947,-2.113074711041778,449.81680580228,404.16103233248566,426.9889190673828,0.1648304259317871,19964230.0,0.8483122063811126,-0.0036434209810086715,-0.0284678935448317,-0.07538481130373609,MSFT
2025-01-15,415.11333355996726,424.04688082339095,414.2615595275802,422.2245178222656,19637800.0,425.95096282958986,423.6888012695312,419.85899322509795,420.10808691382306,423.5972949261595,48.662681645459124,-3.489208012336462,-2.1944504739256883,-1.294757538410774,447.5726149244062,404.3293107347735,425.95096282958986,0.41382608064830884,19937230.0,0.9849813640109484,0.025597208272736705,0.009328339698666088,-0.046862057106766164,MSFT
2025-01-16,424.59158895645874,425.3739962723433,420.32289602505284,420.51104736328125,15300000.0,424.6134017944337,423.9865148925781,419.8707888793948,420.17008082912434,423.36868399557596,47.1815624302316,-3.198603166451619,-2.3952810124308748,-0.8033221540207443,443.863800536155,405.3630030527124,424.6134017944337,0.39344754655250685,19522290.0,0.7837195329031584,-0.004058197443914557,4.68840946796778e-05,-0.05981103842891833,MSFT
2025-01-17,429.92999377383796,430.3162708057646,424.0667436709179,424.9184875488281,26197500.0,423.35408935546883,424.4101367187499,419.920035247803,420.900604939848,423.48348425877987,51.2885163055671,-2.582879318931873,-2.432800673731075,-0.15007864520079828,438.42453712081294,408.2836415901247,423.35408935546883,0.551902843802852,19695490.0,1.330126846298315,0.010481151953516399,0.024060295702062362,-0.05595641802119622,MSFT
2025-01-21,426.0772445238866,426.7705180269004,421.52132200002626,424.3935241699219,26085700.0,422.9138473510743,424.76395202636706,419.97153182983425,421.43797712909014,423.5508946225682,50.78202550786767,-2.112917493478051,-2.36882403768047,0.2559065442024191,437.27099701841684,408.5566976837318,422.9138473510743,0.5515310090296607,19777550.0,1.3189550778534247,-0.0012354449012904611,0.027109917793698424,-0.02032519236995678,MSFT
2025-01-22,433.36673527212855,442.9836731089654,431.8216876151847,441.9239501953125,27803800.0,423.3679565429688,425.2959924316405,420.12333618164087,424.58966529312437,424.91186170203076,63.68052368696753,-0.3221964089063931,-1.9594985119256547,1.6373021030192616,439.5107595826708,407.22515350326677,423.3679565429688,1.0747450924610769,20019555.0,1.388832069444101,0.041307006415045144,0.07344777590571128,0.02098268823344318,MSFT
2025-01-23,437.7641319289048,442.46861072225846,437.26892363486763,442.4289855957031,18389300.0,423.86860961914067,425.73434753417956,420.2400433349612,427.33417610890575,426.20942643489536,63.97344580732712,1.1247496740103884,-1.3426488747384462,2.4673985487488346,441.7232682739732,406.01395096430815,423.86860961914067,1.0197628342930871,17725835.0,1.0374292663787066,0.0011428106581854447,0.047852426660695446,0.02315608877013542,MSFT
2025-01-24,440.8938466028509,442.3695576290663,437.16987060502294,439.80438232421875,15549500.0,424.3048858642578,426.17734191894516,420.3482072448733,429.2526693728,427.21646020447486,61.210544558302196,2.036209168325172,-0.6668772661257226,2.7030864344508947,443.29186981904996,405.31790190946566,424.3048858642578,0.908161098570393,17545685.0,0.8862292922732854,-0.005932258863985851,0.04588068513755328,0.020241133964509217,MSFT
2025-01-27,419.9465634582157,431.0293279263355,419.4414413066827,430.39544677734375,35647800.0,424.06867218017584,426.52171020507797,420.4010041809085,429.4284812811914,427.4519406913541,52.46310206206949,1.9765405898373274,-0.13819369493311257,2.11473428477044,442.6012594418591,405.5360849184926,424.06867218017584,0.6706932363830829,18969850.0,1.8791819650656172,-0.021393455647603865,0.012889435006958161,-0.010857411097472736,MSFT
2025-01-28,430.43508134605355,444.08302154903276,427.24593852989443,442.9143371582031,23491700.0,424.51881713867186,427.0172174072264,420.53126724243197,431.5032283391932,428.59730339260216,60.542738506878536,2.9059249465910284,0.47063003337171566,2.435294913219313,444.4431275761577,404.59450670118605,424.51881713867186,0.961635048206238,19734725.0,1.1903738207651742,0.029086948931724477,0.04364065880719181,0.020748241188712324,MSFT
2025-01-29,442.40923592540474,442.5974175154718,436.17950645057016,438.09100341796875,23581400.0,425.1031631469727,427.37335876464834,420.6144168090824,432.51673219746635,429.3005404315182,56.55438688481554,3.2161917659481674,1.019742379887006,2.196449386061161,445.9255549524453,404.2807713415001,425.1031631469727,0.8118719595596768,20007910.0,1.1786038621725108,-0.010889992342947186,-0.008673317605098707,0.02740808689467933,MSFT
2025-01-30,414.75677425796516,418.8075747745586,409.20055129765046,411.01300048828125,54586300.0,424.6158798217774,427.1545312499999,420.59187042236357,429.20846578066863,427.94590784313027,40.44576377304149,1.2625579375383609,1.068305491417277,0.19425244612108394,446.30447075175266,402.92728889180216,424.6158798217774,0.18640472362631974,22079290.0,2.4722851142405395,-0.06180908240166083,-0.07100797219495514,-0.02316212895523595,MSFT
