date,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi,macd,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,bb_pct,vol_sma20,vol_ratio,ret_1d,ret_5d,ret_20d,ticker,sentiment_score,sentiment_count,sentiment_pos,sentiment_neg,sent_3d,sent_7d,sent_momentum,pe_ratio,forward_pe,eps,revenue_growth,profit_margin,debt_to_equity,target_5d,target_20d,return_5d,return_20d
2025-01-02,247.57754859678104,247.74663833648884,240.5061920078161,242.5251617431641,55740700.0,248.5119506835938,236.3937628173828,212.2577294158936,249.42009337195992,245.37136591047675,46.049082334063606,4.048727461483168,5.242418584874196,-1.1936911233910283,258.41984434692915,238.60405702025844,248.5119506835938,0.1978778162112289,47332935.0,1.1776303328749844,-0.0262359103563509,-0.0555770060358442,0.0049454625190124,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,0.0,-0.028706197112153917,-0.06495801059623976
2025-01-03,242.03781127929688,242.853348279154,240.5757966624965,242.03781127929688,40244100.0,248.5293556213379,236.54810394287108,212.59545860290527,248.2843576653964,245.1244359377968,45.36380199288793,3.159921727599624,4.825919213419282,-1.6659974858196582,258.3878884885642,238.6708227541116,248.5293556213379,0.1707651924663005,47125945.0,0.8539690822115079,-0.0020094841309014,-0.0604585490199376,0.0014402712934984,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,0.0,-0.03681792993275215,-0.04339243194035628
2025-01-06,242.98266113735733,245.9862577240781,241.87869116125097,243.66891479492188,45045600.0,248.626823425293,236.83640167236328,212.928510131836,247.57428953147723,245.01661955684307,48.14518748513166,2.557669974634166,4.372269365662259,-1.8145993910280929,258.2373027448899,239.01634410569608,248.626823425293,0.2420571614725079,47376530.0,0.9507999002881806,0.0067390442303363,-0.0414335116857264,0.0080645359831776,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,0.0,-0.047836801680446836,-0.051142876931090486
2025-01-07,241.6598791297847,244.215923537777,240.0387452815234,240.89407348632807,40856000.0,248.5954948425293,237.07297698974608,213.28385826110843,246.54656398606969,244.711245773842,44.037956016119246,1.8353182122276903,3.864879134975345,-2.0295609227476548,258.30706426191546,238.88392542314315,248.5954948425293,0.103492441657722,47575800.0,0.8587559221284771,-0.0113877525614177,-0.0396113242302464,-0.0025942778303945,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,0.0,-0.01791840166554802,-0.037116508186297636
2025-01-08,240.6056476428208,242.38593107741448,238.74581220273615,241.38140869140625,37628900.0,248.39409561157228,237.3026086425781,213.63713417053228,245.7519247099676,244.46459117514303,44.926569188116666,1.287333534824569,3.34937001494519,-2.062036480120621,258.5411700752061,238.24702114793848,248.39409561157228,0.1544478437872256,47224785.0,0.7968040510930859,0.0020230269596308,-0.030828199425316,-0.0164133269912921,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,0.0,-0.05949736180882286,-0.06209307288649483
2025-01-10,238.70600665338927,238.8552008004512,231.73409784256123,235.5631866455078,61710900.0,247.8510620117188,237.37633605957035,213.96840446472171,244.18442654620452,243.80522787665157,37.30953065169741,0.3791986695530056,2.755335745866753,-2.3761370763137477,259.49424390798254,236.207880115455,247.8510620117188,-0.027685450406232,48464590.0,1.273319345113618,-0.0241038532231648,-0.0287061971121538,-0.0440731350320384,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,0.0,-0.029005752024453876,-0.0377864328295571
2025-01-13,232.2612117379593,233.39501742033124,228.47191419887116,233.12648010253903,49630700.0,247.2498443603516,237.3959643554688,214.29313964843757,242.48320401640987,243.0142095230136,34.659205703898245,-0.5310055066037194,2.098067495372659,-2.629073001976378,260.5971904421492,233.90249827855396,247.2498443603516,-0.0290701301678276,48685835.0,1.019407390260432,-0.0103441737975623,-0.036817929932752,-0.049048795281773,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,0.0,-0.050170579906228224,-0.006502673715587806
2025-01-14,233.47458784982285,234.83713969366363,231.2069764534674,232.0125732421875,39435300.0,246.51983108520503,237.4642483520508,214.59446777343757,240.8723377434526,242.19927350221167,33.48808936140854,-1.3269357587590775,1.4130668445463117,-2.7400026033053893,261.50986702221724,231.52979514819285,246.51983108520503,0.0161033000857093,49018725.0,0.8044946089479071,-0.0047781224160448,-0.0478368016804467,-0.0592031849486132,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,1.0,-0.04050916608923172,0.016505629398831028
2025-01-15,233.36518970349533,237.66172623332488,233.15632396556444,236.57763671875,39832000.0,246.00961761474608,237.70708679199225,214.92768859863287,240.21161450888297,241.782855962696,42.11975176671328,-1.5712414538130304,0.8162051848744432,-2.3874466386874733,261.642934146065,230.3763010834272,246.00961761474608,0.1983371737756697,49352560.0,0.8070908581034094,0.0196759314065158,-0.0179184016655482,-0.0413493418917425,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,1.0,-0.05973845279054576,0.016502979292523683
2025-01-16,236.06047699847065,236.7168796666606,226.7911055301388,227.0198516845703,71759100.0,244.87680511474608,237.81837799072267,215.2203051757813,238.1821125359118,240.68930009024223,32.5850258473722,-2.507187554330443,0.151526637033466,-2.658714191363909,262.54274381845613,227.210866411036,244.87680511474608,-0.0054062999329944,50355775.0,1.425042112846044,-0.040400205052104,-0.0594973618088228,-0.0907425654563562,AAPL,0.0,0.0,0.0,0.0,,,0.0,31.351456,26.605259,7.91,0.157,0.27037,102.63,0.0,1.0,-0.024007638674972725,0.07276327225489643
